Date, Close/Last, Volume, Open, High, Low
11/21/2019, $42.33, 1679699, $42.25, $42.38, $42.1
11/20/2019, $42.45, 2880908, $42.78, $42.78, $42.32
11/19/2019, $42.82, 4271628, $42.85, $42.95, $42.77
11/18/2019, $41.91, 4090676, $42.45, $42.48, $41.83
11/15/2019, $40.96, 2863781, $40.88, $41.06, $40.85
11/14/2019, $40.88, 3649372, $40.92, $41.05, $40.77
11/13/2019, $40.735, 5973603, $40.3, $41.5, $40.28
11/12/2019, $42.2, 3586091, $42.08, $42.29, $41.93
11/11/2019, $41.69, 3286410, $41.4, $41.83, $41.33
11/08/2019, $41.79, 2835346, $41.96, $41.96, $41.6
11/07/2019, $42.72, 3161402, $42.64, $42.81, $42.55
11/06/2019, $42.5, 2183763, $42.56, $42.67, $42.35
11/05/2019, $42.38, 2907320, $42.38, $42.6, $42.35
11/04/2019, $41.97, 3684336, $41.99, $41.99, $41.73
11/01/2019, $41.09, 3217968, $41.04, $41.21, $40.95
10/31/2019, $40.5, 2433229, $40.7, $40.78, $40.36
10/30/2019, $40.37, 2229400, $40.29, $40.44, $40.04
10/29/2019, $40.15, 4333495, $40.42, $40.42, $40.14
10/28/2019, $41.1, 5281439, $41.19, $41.27, $41.04
10/25/2019, $40.62, 5175586, $40.21, $40.66, $40.16
10/24/2019, $40.39, 5436599, $40.55, $40.65, $40.31
10/23/2019, $40.59, 3799706, $40.53, $40.65, $40.21
10/22/2019, $41.29, 2324182, $41.68, $41.75, $41.23
10/21/2019, $41.55, 2249058, $41.41, $41.55, $41.17
10/18/2019, $41.65, 3268804, $42.08, $42.23, $41.61
10/17/2019, $42.05, 2430023, $42.12, $42.2, $41.91
10/16/2019, $41.88, 3447341, $42.16, $42.16, $41.72
10/15/2019, $42.085, 4637354, $41.81, $42.12, $41.71
10/14/2019, $41.49, 3517798, $41.58, $41.84, $41.44
10/11/2019, $41.61, 5488152, $41.55, $42, $41.46
10/10/2019, $40.93, 4892325, $40.86, $41.24, $40.64
10/09/2019, $40.56, 3148831, $40.65, $40.87, $40.4
10/08/2019, $40.66, 3577782, $40.81, $41.05, $40.6
10/07/2019, $41, 1749348, $41.21, $41.3, $40.92
10/04/2019, $41.4186, 2474049, $41.1, $41.49, $40.9
10/03/2019, $41.68, 2675548, $41.39, $41.76, $41.04
10/02/2019, $41.09, 3348875, $40.93, $41.18, $40.67
10/01/2019, $41.475, 2466005, $41.72, $41.93, $41.33
09/30/2019, $41.63, 3637735, $41.9, $42.03, $41.62
09/27/2019, $40.89, 5930552, $41.97, $42.33, $40.57
09/26/2019, $41.99, 2919383, $42.15, $42.3, $41.88
09/25/2019, $42.25, 2786730, $41.93, $42.32, $41.75
09/24/2019, $42.27, 1726316, $42.75, $42.8, $42.18
09/23/2019, $42.87, 2350504, $42.58, $42.99, $42.56
09/20/2019, $42.77, 2857703, $43.01, $43.17, $42.56
09/19/2019, $43.16, 2629756, $43.22, $43.59, $43.12
09/18/2019, $43.47, 4042231, $43.83, $43.86, $43.16
09/17/2019, $44.14, 2386331, $43.8, $44.2, $43.77
09/16/2019, $43.97, 3232361, $44.15, $44.33, $43.78
09/13/2019, $44.59, 2823950, $44.55, $44.68, $44.43
09/12/2019, $44.45, 2741991, $44.63, $44.93, $44.35
09/11/2019, $44.13, 3606355, $44.18, $44.47, $44
09/10/2019, $43.35, 4004738, $43.48, $43.67, $43.24
09/09/2019, $43.76, 3543459, $43.54, $43.98, $43.53
09/06/2019, $43.78, 3890948, $43.83, $43.96, $43.72
09/05/2019, $43.71, 3184963, $43.84, $44, $43.61
09/04/2019, $43.62, 4464618, $43.5, $43.75, $43.22
