average error,precision,recal,i,j,epoch
0.034918328,0.563829787,0.559859155,5,5,10
0.0326998,0.55,0.658450704,5,5,20
0.036546417,0.544262295,0.584507042,5,5,30
0.033881694,0.573170732,0.827464789,5,5,40
0.032780349,0.57208238,0.88028169,5,5,50
0.037981479,0.567391304,0.919014085,5,5,60
0.035284223,0.545454545,0.38028169,5,5,70
0.033643871,0.508695652,0.411971831,5,5,80
0.033464459,0.571906355,0.602112676,5,5,90
0.033551175,0.563106796,0.816901408,5,10,10
0.034080932,0.581993569,0.637323944,5,10,20
0.036363801,0.577625571,0.89084507,5,10,30
0.034890673,0.563968668,0.76056338,5,10,40
0.036295752,0.566775244,0.612676056,5,10,50
0.033455463,0.568807339,0.873239437,5,10,60
0.033414214,0.545731707,0.63028169,5,10,70
0.033384977,0.56675063,0.792253521,5,10,80
0.032576182,0.566909976,0.820422535,5,10,90
0.036052783,0.560606061,0.651408451,5,15,10
0.035237204,0.573426573,0.866197183,5,15,20
0.033486006,0.548387097,0.23943662,5,15,30
0.032664754,0.558583106,0.721830986,5,15,40
0.033001039,0.564383562,0.725352113,5,15,50
0.036272012,0.57112069,0.933098592,5,15,60
0.036240354,0.571138211,0.98943662,5,15,70
0.032348597,0.511494253,0.313380282,5,15,80
0.033481008,0.56812933,0.866197183,5,15,90
0.03590646,0.571729958,0.954225352,5,20,10
0.033774372,0.570491803,0.612676056,5,20,20
0.033228628,0.569411765,0.852112676,5,20,30
0.036657548,0.561688312,0.60915493,5,20,40
0.036023421,0.569230769,0.521126761,5,20,50
0.032229609,0.590909091,0.64084507,5,20,60
0.038438905,0.574031891,0.887323944,5,20,70
0.035296048,0.5,0.345070423,5,20,80
0.032278442,0.556737589,0.552816901,5,20,90
0.034293406,0.565891473,0.514084507,5,25,10
0.034482893,0.567164179,0.936619718,5,25,20
0.541786362,0.569395018,0.563380282,5,25,30
0.036313247,0.56745182,0.933098592,5,25,40
0.036250899,0.548387097,0.419014085,5,25,50
0.033829167,0.534545455,0.517605634,5,25,60
0.035956363,0.559782609,0.725352113,5,25,70
0.033390879,0.573275862,0.468309859,5,25,80
0.03837264,0.557142857,0.137323944,5,25,90
0.035674355,0.564705882,0.507042254,5,30,10
0.035070336,0.562300319,0.61971831,5,30,20
0.035694488,0.571138211,0.98943662,5,30,30
0.037293377,0.5234375,0.235915493,5,30,40
0.041091843,0.573033708,0.897887324,5,30,50
0.035090073,0.582278481,0.809859155,5,30,60
0.034690785,0.568965517,0.116197183,5,30,70
0.033712887,0.576177285,0.732394366,5,30,80
0.033274922,0.570987654,0.651408451,5,30,90
0.03584409,0.579295154,0.926056338,5,35,10
0.035732809,0.572938689,0.954225352,5,35,20
0.036887574,0.556016598,0.471830986,5,35,30
0.037938812,0.577142857,0.355633803,5,35,40
0.034753868,0.569536424,0.605633803,5,35,50
0.03279968,0.57106599,0.792253521,5,35,60
0.032188437,0.569620253,0.633802817,5,35,70
0.032831236,0.57881137,0.788732394,5,35,80
0.037027472,0.56,0.64084507,5,35,90
0.033499606,0.572008114,0.992957746,5,40,10
0.037687963,0.542372881,0.112676056,5,40,20
0.035555428,0.573394495,0.88028169,5,40,30
0.034323201,0.535315985,0.507042254,5,40,40
0.036616694,0.536231884,0.13028169,5,40,50
0.033713581,0.559766764,0.676056338,5,40,60
0.033417262,0.542168675,0.475352113,5,40,70
0.03374708,0.573059361,0.883802817,5,40,80
0.034914594,0.578767123,0.595070423,5,40,90
0.034319988,0.562711864,0.584507042,5,45,10
0.036480004,0.558265583,0.725352113,5,45,20
0.035039348,0.570754717,0.852112676,5,45,30
0.036521777,0.57300885,0.911971831,5,45,40
0.034400406,0.542307692,0.496478873,5,45,50
0.037034844,0.570776256,0.88028169,5,45,60
0.032901956,0.542635659,0.492957746,5,45,70
0.033361649,0.555102041,0.478873239,5,45,80
0.034263194,0.51369863,0.264084507,5,45,90
0.03744458,0.575257732,0.982394366,5,50,10
0.035229612,0.571428571,0.943661972,5,50,20
0.036511949,0.625,0.035211268,5,50,30
0.035615604,0.568904594,0.566901408,5,50,40
0.033972165,0.52,0.228873239,5,50,50
0.035658474,0.570743405,0.838028169,5,50,60
0.039160535,0.566860465,0.686619718,5,50,70
0.035829459,0.625,0.052816901,5,50,80
0.033624579,0.552238806,0.521126761,5,50,90
0.035907743,0.572222222,0.362676056,5,55,10
0.038400197,0.569160998,0.883802817,5,55,20
0.035440264,0.628571429,0.077464789,5,55,30
0.034642143,0.544871795,0.299295775,5,55,40
0.038549288,0.567944251,0.573943662,5,55,50
0.033494266,0.576233184,0.904929577,5,55,60
0.034047265,0.570719603,0.809859155,5,55,70
0.038270743,0.568674699,0.830985915,5,55,80
0.03431408,0.579166667,0.978873239,5,55,90
0.032900448,0.54679803,0.39084507,5,60,10
0.038722222,0.573849879,0.834507042,5,60,20
0.035634114,0.564263323,0.633802817,5,60,30
0.037745122,0.571134021,0.975352113,5,60,40
0.033831246,0.571782178,0.813380282,5,60,50
0.035064646,0.483870968,0.105633803,5,60,60
0.032920146,0.533333333,0.394366197,5,60,70
0.036332182,0.569979716,0.98943662,5,60,80
0.035476857,0.582089552,0.137323944,5,60,90
0.038050601,0.571764706,0.855633803,5,65,10
0.032834576,0.575163399,0.929577465,5,65,20
0.034877599,0.563131313,0.785211268,5,65,30
0.03393329,0.54691689,0.718309859,5,65,40
0.037828514,0.552083333,0.186619718,5,65,50
0.03854621,0.576017131,0.947183099,5,65,60
0.040074004,0.563253012,0.658450704,5,65,70
0.036552444,0.531578947,0.355633803,5,65,80
0.035099044,0.573033708,0.897887324,5,65,90
0.035357111,0.582677165,0.781690141,5,70,10
0.039629356,0.570850202,0.992957746,5,70,20
0.038796226,0.558441558,0.302816901,5,70,30
0.037996206,0.576233184,0.904929577,5,70,40
0.033494986,0.544827586,0.556338028,5,70,50
0.033363889,0.577272727,0.894366197,5,70,60
0.031915759,0.575,0.809859155,5,70,70
0.034143746,0.5,0.193661972,5,70,80
0.034665352,0.565217391,0.045774648,5,70,90
0.036879121,0.568578554,0.802816901,5,75,10
0.033924839,0.577922078,0.940140845,5,75,20
0.034002119,0.571759259,0.86971831,5,75,30
0.035215663,0.552447552,0.556338028,5,75,40
0.033813868,0.573804574,0.971830986,5,75,50
0.034868123,0.571759259,0.86971831,5,75,60
0.037401454,0.545454545,0.464788732,5,75,70
0.036160896,0.571428571,0.985915493,5,75,80
0.04651737,0.573913043,0.929577465,5,75,90
0.035441224,0.5,0.105633803,5,80,10
0.032824001,0.539215686,0.387323944,5,80,20
0.037152026,0.573604061,0.795774648,5,80,30
0.034654456,0.57079646,0.908450704,5,80,40
0.032954926,0.588028169,0.588028169,5,80,50
0.04481888,0.569739953,0.848591549,5,80,60
0.034537473,0.507537688,0.355633803,5,80,70
0.036222761,0.505747126,0.154929577,5,80,80
0.037939807,0.54676259,0.267605634,5,80,90
0.037542373,0.577319588,0.788732394,5,85,10
0.035178987,0.487654321,0.278169014,5,85,20
0.037599526,0.578680203,0.802816901,5,85,30
0.542681191,0.568904594,0.566901408,5,85,40
0.034504238,0.564285714,0.556338028,5,85,50
0.034934727,0.572727273,0.887323944,5,85,60
0.035657076,0.571748879,0.897887324,5,85,70
0.03630867,0.568019093,0.838028169,5,85,80
0.033036678,0.591428571,0.728873239,5,85,90
0.034805314,0.570754717,0.852112676,5,90,10
0.03454782,0.546031746,0.605633803,5,90,20
0.035740896,0.543859649,0.10915493,5,90,30
0.034638162,0.556164384,0.714788732,5,90,40
0.036389658,0.45045045,0.176056338,5,90,50
0.037485599,0.56547619,0.669014085,5,90,60
0.034122705,0.57985258,0.830985915,5,90,70
0.035532113,0.56443299,0.771126761,5,90,80
0.033907835,0.573891626,0.820422535,5,90,90
0.035556399,0.564935065,0.306338028,5,95,10
0.034738192,0.4875,0.274647887,5,95,20
0.033800411,0.584269663,0.915492958,5,95,30
0.03633114,0.567404427,0.992957746,5,95,40
0.036954843,0.567757009,0.855633803,5,95,50
0.035874655,0.558303887,0.556338028,5,95,60
0.041426613,0.586387435,0.394366197,5,95,70
0.036473114,0.554347826,0.538732394,5,95,80
0.035800901,0.574948665,0.985915493,5,95,90
0.033427587,0.570841889,0.978873239,10,5,10
0.032988861,0.548076923,0.602112676,10,5,20
0.032752643,0.579646018,0.922535211,10,5,30
0.033601508,0.543650794,0.482394366,10,5,40
0.03568244,0.575221239,0.915492958,10,5,50
0.034478867,0.560301508,0.785211268,10,5,60
0.034514089,0.564304462,0.757042254,10,5,70
0.035998538,0.582051282,0.799295775,10,5,80
0.037257707,0.520833333,0.088028169,10,5,90
0.034212819,0.5703125,0.771126761,10,10,10
0.035510674,0.564784053,0.598591549,10,10,20
0.033350369,0.567282322,0.757042254,10,10,30
0.033123034,0.548148148,0.521126761,10,10,40
0.033966995,0.55,0.580985915,10,10,50
0.034378825,0.571770335,0.841549296,10,10,60
0.034582467,0.563451777,0.781690141,10,10,70
0.035958561,0.574660633,0.894366197,10,10,80
0.032207676,0.544072948,0.63028169,10,10,90
0.032980675,0.575057737,0.876760563,10,15,10
0.033165345,0.573770492,0.862676056,10,15,20
0.03492376,0.538793103,0.440140845,10,15,30
0.034259679,0.573459716,0.852112676,10,15,40
0.033885055,0.566298343,0.721830986,10,15,50
0.034031791,0.532,0.468309859,10,15,60
0.034048634,0.562318841,0.683098592,10,15,70
0.035799545,0.462962963,0.088028169,10,15,80
0.034521527,0.578341014,0.883802817,10,15,90
0.03847816,0.567849687,0.957746479,10,20,10
0.037148877,0.53968254,0.35915493,10,20,20
0.033933239,0.528301887,0.295774648,10,20,30
0.033608871,0.566572238,0.704225352,10,20,40
0.03318497,0.574660633,0.894366197,10,20,50
0.038121961,0.574338086,0.992957746,10,20,60
0.033868432,0.565947242,0.830985915,10,20,70
0.036406932,0.530232558,0.401408451,10,20,80
0.034023391,0.569072165,0.971830986,10,20,90
0.03244632,0.574468085,0.855633803,10,25,10
0.033667333,0.560784314,0.503521127,10,25,20
0.034291672,0.559888579,0.707746479,10,25,30
0.032494843,0.569230769,0.781690141,10,25,40
0.035717915,0.571717172,0.996478873,10,25,50
0.036112563,0.569979716,0.98943662,10,25,60
0.033712791,0.533632287,0.419014085,10,25,70
0.034284988,0.571428571,0.901408451,10,25,80
0.034119992,0.571428571,0.070422535,10,25,90
0.035264345,0.526548673,0.419014085,10,30,10
0.034659832,0.554054054,0.721830986,10,30,20
0.037026126,0.56993737,0.961267606,10,30,30
0.032686138,0.539589443,0.647887324,10,30,40
0.032868056,0.550387597,0.5,10,30,50
0.034969766,0.577608142,0.799295775,10,30,60
0.03582193,0.6,0.01056338,10,30,70
0.033424692,0.567944251,0.573943662,10,30,80
0.033553195,0.5390625,0.485915493,10,30,90
0.035710709,0.564210526,0.943661972,10,35,10
0.033523359,0.572481572,0.820422535,10,35,20
0.041679262,0.567099567,0.922535211,10,35,30
0.039911873,0.571428571,0.056338028,10,35,40
0.03563739,0.483333333,0.102112676,10,35,50
0.033725474,0.567032967,0.908450704,10,35,60
0.033729359,0.573951435,0.915492958,10,35,70
0.035003786,0.571759259,0.86971831,10,35,80
0.034402848,0.576819407,0.753521127,10,35,90
0.037360714,0.555555556,0.299295775,10,40,10
0.037889799,0.570841889,0.978873239,10,40,20
0.036433583,0.566350711,0.841549296,10,40,30
0.040560864,0.576086957,0.933098592,10,40,40
0.033969289,0.551886792,0.411971831,10,40,50
0.035834976,0.572413793,0.876760563,10,40,60
0.035443948,0.573560768,0.947183099,10,40,70
0.034900529,0.482758621,0.295774648,10,40,80
0.032444586,0.556923077,0.637323944,10,40,90
0.037105031,0.54887218,0.514084507,10,45,10
0.032706159,0.568306011,0.366197183,10,45,20
0.036045047,0.516129032,0.225352113,10,45,30
0.035689079,0.571428571,0.436619718,10,45,40
0.040213798,0.666666667,0.007042254,10,45,50
0.035914705,0.590163934,0.38028169,10,45,60
0.033866206,0.54,0.38028169,10,45,70
0.034317091,0.576142132,0.799295775,10,45,80
0.032888892,0.522321429,0.411971831,10,45,90
0.032570872,0.572984749,0.926056338,10,50,10
0.036808486,0.568507157,0.978873239,10,50,20
0.03631751,0.569958848,0.975352113,10,50,30
0.03387855,0.572895277,0.982394366,10,50,40
0.034120196,0.589371981,0.85915493,10,50,50
0.032736716,0.564039409,0.806338028,10,50,60
0.034765187,0.56402439,0.651408451,10,50,70
0.033966471,0.534161491,0.302816901,10,50,80
0.03569978,0.575963719,0.894366197,10,50,90
0.031774231,0.581447964,0.904929577,10,55,10
0.037159966,0.482758621,0.049295775,10,55,20
0.035922378,0.569620253,0.950704225,10,55,30
0.037132627,0.547770701,0.302816901,10,55,40
0.035845249,0.571138211,0.98943662,10,55,50
0.034498475,0.466666667,0.098591549,10,55,60
0.037928297,0.575406032,0.873239437,10,55,70
0.037612446,0.567951318,0.985915493,10,55,80
0.037800325,0.633333333,0.066901408,10,55,90
0.0361993,0.692307692,0.031690141,10,60,10
0.035600563,0.575569358,0.978873239,10,60,20
0.036832406,0.573275862,0.936619718,10,60,30
0.035159036,0.524590164,0.112676056,10,60,40
0.033128675,0.574018127,0.669014085,10,60,50
0.038236424,0.487804878,0.070422535,10,60,60
0.037311231,0.563829787,0.186619718,10,60,70
0.035742308,0.529411765,0.095070423,10,60,80
0.035829249,0.568848758,0.887323944,10,60,90
0.039397766,0.572895277,0.982394366,10,65,10
0.036393511,0.564564565,0.661971831,10,65,20
0.03895078,0.5,0.028169014,10,65,30
0.034400131,0.558139535,0.169014085,10,65,40
0.041065966,0.548387097,0.059859155,10,65,50
0.035349152,0.516778523,0.271126761,10,65,60
0.033093502,0.581218274,0.806338028,10,65,70
0.035687002,0.546099291,0.271126761,10,65,80
0.034161395,0.561514196,0.626760563,10,65,90
0.033075741,0.573696145,0.89084507,10,70,10
0.036199904,0.568273092,0.996478873,10,70,20
0.038927053,0.563909774,0.264084507,10,70,30
0.034039471,0.573684211,0.767605634,10,70,40
0.03456004,0.580110497,0.73943662,10,70,50
0.035012014,0.571734475,0.940140845,10,70,60
0.034622248,0.560137457,0.573943662,10,70,70
0.032966963,0.572944297,0.76056338,10,70,80
0.035683098,0.509433962,0.190140845,10,70,90
0.038142099,0.571428571,0.985915493,10,75,10
0.039798954,0.569416499,0.996478873,10,75,20
0.034284509,0.571129707,0.961267606,10,75,30
0.035651256,0.57231405,0.975352113,10,75,40
0.034563445,0.692307692,0.095070423,10,75,50
0.037091137,0.563380282,0.422535211,10,75,60
0.034162587,0.570815451,0.936619718,10,75,70
0.032722637,0.547987616,0.623239437,10,75,80
0.03377553,0.574031891,0.887323944,10,75,90
0.038084961,0.570552147,0.982394366,10,80,10
0.032614077,0.574112735,0.968309859,10,80,20
0.036743888,0.579295154,0.926056338,10,80,30
0.036141397,0.55,0.271126761,10,80,40
0.036000908,0.561904762,0.207746479,10,80,50
0.038955167,0.5,0.031690141,10,80,60
0.038202852,0.573804574,0.971830986,10,80,70
0.036764973,0.578616352,0.971830986,10,80,80
0.032602837,0.570342205,0.528169014,10,80,90
0.035377556,0.518918919,0.338028169,10,85,10
0.036021456,0.567567568,0.073943662,10,85,20
0.035446129,0.569832402,0.718309859,10,85,30
0.038151212,0.543478261,0.088028169,10,85,40
0.035887794,0.573770492,0.985915493,10,85,50
0.035608299,0.524137931,0.267605634,10,85,60
0.03324232,0.569915254,0.947183099,10,85,70
0.032957482,0.569587629,0.778169014,10,85,80
0.036625825,0.52173913,0.042253521,10,85,90
0.034858024,0.567510549,0.947183099,10,90,10
0.038874241,0.5,0.126760563,10,90,20
0.037274929,0.5,0.028169014,10,90,30
0.03578223,0.544715447,0.235915493,10,90,40
0.040681243,0.562962963,0.802816901,10,90,50
0.043314606,0.570841889,0.978873239,10,90,60
0.034970345,0.544117647,0.26056338,10,90,70
0.037526866,0.567622951,0.975352113,10,90,80
0.037637158,0.526315789,0.070422535,10,90,90
0.033953075,0.570155902,0.901408451,10,95,10
0.036958114,0.536585366,0.154929577,10,95,20
0.041311294,0.570841889,0.978873239,10,95,30
0.035783106,0.572008114,0.992957746,10,95,40
0.037887133,0.6,0.01056338,10,95,50
0.032787537,0.568253968,0.63028169,10,95,60
0.032883847,0.577181208,0.908450704,10,95,70
0.038329813,0.572025052,0.964788732,10,95,80
0.033172999,0.577039275,0.672535211,10,95,90
0.032561349,0.568396226,0.848591549,15,5,10
0.033004805,0.570841889,0.978873239,15,5,20
0.032908795,0.576446281,0.982394366,15,5,30
0.034913307,0.571428571,0.901408451,15,5,40
0.032250637,0.560747664,0.633802817,15,5,50
0.034140457,0.569387755,0.982394366,15,5,60
0.033207859,0.532846715,0.257042254,15,5,70
0.033610091,0.535294118,0.320422535,15,5,80
0.03304689,0.570552147,0.654929577,15,5,90
0.032713152,0.541516245,0.528169014,15,10,10
0.034431733,0.566666667,0.538732394,15,10,20
0.03385179,0.575091575,0.552816901,15,10,30
0.033223441,0.57239819,0.89084507,15,10,40
0.032996121,0.573498965,0.975352113,15,10,50
0.032565318,0.576826196,0.806338028,15,10,60
0.032808347,0.511278195,0.23943662,15,10,70
0.033417211,0.508474576,0.316901408,15,10,80
0.03275185,0.578341014,0.883802817,15,10,90
0.035909782,0.555956679,0.542253521,15,15,10
0.037973996,0.571078431,0.820422535,15,15,20
0.036848639,0.571428571,0.042253521,15,15,30
0.032622128,0.574944072,0.904929577,15,15,40
0.033121122,0.573113208,0.855633803,15,15,50
